region,lat,lon,awc_0_5cm,awc_100_200cm,awc_15_30cm,awc_30_60cm,awc_5_15cm,awc_60_100cm,bulk_density_0_5cm,bulk_density_100_200cm,bulk_density_15_30cm,bulk_density_30_60cm,bulk_density_5_15cm,bulk_density_60_100cm,clay_0_5cm,clay_100_200cm,clay_15_30cm,clay_30_60cm,clay_5_15cm,clay_60_100cm,depth_of_regolith_-9999_-9999cm,depth_of_soil_-9999_-9999cm,ecec_0_5cm,ecec_100_200cm,ecec_15_30cm,ecec_30_60cm,ecec_5_15cm,ecec_60_100cm,phc_0_5cm,phc_100_200cm,phc_15_30cm,phc_30_60cm,phc_5_15cm,phc_60_100cm,sand_0_5cm,sand_100_200cm,sand_15_30cm,sand_30_60cm,sand_5_15cm,sand_60_100cm,silt_0_5cm,silt_100_200cm,silt_15_30cm,silt_30_60cm,silt_5_15cm,silt_60_100cm,soc_0_5cm,soc_100_200cm,soc_15_30cm,soc_30_60cm,soc_5_15cm,soc_60_100cm,total_n_0_5cm,total_n_100_200cm,total_n_15_30cm,total_n_30_60cm,total_n_5_15cm,total_n_60_100cm,total_p_0_5cm,total_p_100_200cm,total_p_15_30cm,total_p_30_60cm,total_p_5_15cm,total_p_60_100cm
New South Wales,-34.5,146.5,11.946532249450684,11.609331130981445,12.248651504516602,12.171714782714844,12.068777084350586,12.09519100189209,1.3657430410385132,1.5355749130249023,1.4837241172790527,1.4695667028427124,1.4350780248641968,1.4995465278625488,16.67460060119629,30.64205551147461,23.792634963989258,29.848644256591797,18.458189010620117,31.55117416381836,4.652921199798584,0.6959657073020935,8.317883491516113,7.969909191131592,7.702480316162109,7.866857051849365,8.05073356628418,8.046463966369629,5.333181381225586,6.237617492675781,5.5515899658203125,5.730688571929932,5.343210220336914,6.028952121734619,65.34877014160156,50.525596618652344,58.51414108276367,51.59326934814453,63.435638427734375,48.64720916748047,8.485546112060547,8.047202110290527,8.097210884094238,7.6528401374816895,8.433341026306152,7.663317680358887,3.0830941200256348,0.25084179639816284,1.165593147277832,0.5629346370697021,1.992222785949707,0.3761763274669647,0.15104837715625763,0.029413720592856407,0.07591914385557175,0.0472305566072464,0.12226471304893494,0.03578843176364899,0.029453009366989136,0.018326615914702415,0.023056719452142715,0.021915452554821968,0.02675849199295044,0.02159453183412552
Queensland,-27.5,151.5,17.797161102294922,13.861857414245605,17.572513580322266,16.705869674682617,17.712507247924805,15.79477596282959,1.2473136186599731,1.3528810739517212,1.307455062866211,1.2933069467544556,1.2830926179885864,1.3210368156433105,42.67544174194336,51.79002380371094,49.00475311279297,52.20254898071289,44.40668869018555,53.37786865234375,26.42037010192871,1.2467529773712158,30.199691772460938,36.094486236572266,29.299224853515625,31.26836395263672,29.749448776245117,33.34288787841797,6.345658779144287,7.363544940948486,6.6189446449279785,7.035665035247803,6.4303107261657715,7.286263942718506,34.4215087890625,24.661222457885742,29.34152603149414,24.872905731201172,33.18093490600586,23.728111267089844,14.651923179626465,13.77291202545166,14.100316047668457,13.465764999389648,14.568405151367188,13.431118965148926,1.9288896322250366,0.4601592421531677,1.141030192375183,0.8555322885513306,1.5533100366592407,0.5894707441329956,0.13347187638282776,0.030321136116981506,0.10387538373470306,0.06543929129838943,0.12299361079931259,0.0416083000600338,0.06771691888570786,0.03744817525148392,0.051169950515031815,0.04360689967870712,0.06421583145856857,0.03860443830490112
South Australia,-34.5,138.5,13.467309951782227,12.075788497924805,13.711084365844727,13.458113670349121,13.593188285827637,12.984111785888672,1.3222436904907227,1.5212863683700562,1.3852282762527466,1.3991128206253052,1.3544062376022339,1.453574299812317,23.882413864135742,40.05752944946289,33.174129486083984,35.714664459228516,27.10944938659668,38.568912506103516,81.20674896240234,0.8727959394454956,16.159517288208008,19.30121612548828,15.631484985351562,16.63016128540039,15.908222198486328,17.699016571044922,7.292858600616455,8.418261528015137,7.812479496002197,8.12229061126709,7.526516437530518,8.372344017028809,65.38762664794922,43.74819564819336,58.9107551574707,53.00474166870117,62.67543029785156,47.2130126953125,7.63883113861084,6.68142557144165,7.417192459106445,7.448831081390381,7.202541828155518,7.248515605926514,1.3530161380767822,0.12010031938552856,0.6429506540298462,0.3992232084274292,1.0696802139282227,0.23130793869495392,0.10334649682044983,0.02601940743625164,0.060832805931568146,0.04439462721347809,0.08867846429347992,0.03228147327899933,0.033689823001623154,0.021478258073329926,0.030339935794472694,0.025816936045885086,0.03261091560125351,0.02490362897515297
Tasmania,-42.0,147.0,15.232708930969238,13.370828628540039,15.35755729675293,14.718064308166504,15.306985855102539,14.226799011230469,1.0565729141235352,1.3479384183883667,1.2103533744812012,1.248784065246582,1.128867268562317,1.2907317876815796,14.532710075378418,28.893747329711914,19.759151458740234,25.55702781677246,15.66769790649414,28.79883575439453,0.0,0.8448833227157593,20.734943389892578,14.106261253356934,15.233052253723145,16.19921112060547,18.316415786743164,16.026132583618164,4.814587116241455,5.084855079650879,4.776340961456299,4.889160633087158,4.765256404876709,4.968385219573975,51.13679885864258,46.73200225830078,46.907691955566406,43.52253341674805,50.24391555786133,44.48689270019531,19.312252044677734,17.218523025512695,18.552255630493164,17.65037727355957,19.160715103149414,17.350858688354492,6.993631839752197,0.4466229975223541,2.824888229370117,1.1856162548065186,4.433385848999023,0.7096940279006958,0.292847603559494,0.0368923656642437,0.11573261022567749,0.07762204855680466,0.22018805146217346,0.04727562889456749,0.03928375616669655,0.03012976050376892,0.031811680644750595,0.030575789511203766,0.03554537147283554,0.030963052064180374
Victoria,-36.5,143.5,10.654256820678711,11.005696296691895,11.245742797851562,11.478083610534668,10.903109550476074,11.524626731872559,1.400390625,1.5103176832199097,1.4797455072402954,1.454332709312439,1.4441312551498413,1.4788306951522827,20.74643325805664,43.41925811767578,32.3139762878418,42.01920700073242,23.983806610107422,44.390567779541016,15.195839881896973,0.8673100471496582,7.809828281402588,8.181807518005371,7.296789646148682,7.6943817138671875,7.584511756896973,8.058941841125488,5.00719690322876,6.5951104164123535,5.240705490112305,5.813049793243408,4.964640140533447,6.19935941696167,66.94032287597656,43.98442077636719,58.836891174316406,49.00426483154297,64.54098510742188,41.92934799194336,11.992679595947266,10.39033317565918,11.372932434082031,10.659300804138184,11.866636276245117,10.470929145812988,2.8390278816223145,0.1399219036102295,0.5290604829788208,0.32791364192962646,1.048915982246399,0.21484991908073425,0.12941482663154602,0.02268889732658863,0.06228943541646004,0.0392937958240509,0.10816361010074615,0.02754485420882702,0.018907291814684868,0.012098764069378376,0.013710965402424335,0.013101431541144848,0.017335768789052963,0.013213244266808033
Western Australia,-31.5,118.0,10.288322448730469,9.837032318115234,10.598301887512207,10.491497993469238,10.420403480529785,10.253569602966309,1.4236798286437988,1.626002311706543,1.533866286277771,1.5688166618347168,1.4757513999938965,1.6080414056777954,14.973997116088867,35.558223724365234,24.95806121826172,30.410409927368164,18.158273696899414,35.58771896362305,11.921277046203613,0.7223313450813293,8.443214416503906,9.545682907104492,8.05051326751709,8.51943588256836,8.256203651428223,8.97707462310791,6.002555847167969,6.826854228973389,6.32042932510376,6.52836799621582,6.090620517730713,6.704359531402588,76.64480590820312,55.02732849121094,63.931827545166016,59.68825149536133,71.5730972290039,54.61318588256836,4.208427429199219,8.828191757202148,7.35478401184082,7.467902183532715,5.6379570960998535,8.905205726623535,1.2182633876800537,0.15565890073776245,0.4324184060096741,0.3391677141189575,0.7143347263336182,0.236379936337471,0.06633079797029495,0.019626688212156296,0.03916517272591591,0.027919664978981018,0.05684928223490715,0.02184053137898445,0.012533632107079029,0.00907755084335804,0.010041972622275352,0.009515047073364258,0.011564542539417744,0.009324738755822182
