region,soil_lat,soil_lon,soil_awc_topsoil_0_30,soil_awc_subsoil_30_100,soil_bulk_density_topsoil_0_30,soil_bulk_density_subsoil_30_100,soil_clay_topsoil_0_30,soil_clay_subsoil_30_100,soil_sand_topsoil_0_30,soil_sand_subsoil_30_100,soil_silt_topsoil_0_30,soil_silt_subsoil_30_100,soil_soc_topsoil_0_30,soil_soc_subsoil_30_100,soil_total_n_topsoil_0_30,soil_total_n_subsoil_30_100,soil_total_p_topsoil_0_30,soil_total_p_subsoil_30_100,soil_phc_topsoil_0_30,soil_phc_subsoil_30_100,soil_ecec_topsoil_0_30,soil_ecec_subsoil_30_100,soil_depth_of_soil,soil_depth_of_regolith
New South Wales,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.293745040893555,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.45621560301099506,0.10388920580347374,0.04069219955376211,0.025356691951553,0.02173206928585253,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584
Queensland,-27.5,151.5,17.656619389851887,16.185244696480886,1.2893106738726299,1.3091525861195155,46.41717974344889,52.87416022164481,31.467992782592773,24.2187374659947,14.348280270894369,13.445967265537806,1.409766713778178,0.7034971203122821,0.11518087486426028,0.05182158201932905,0.05827640555799004,0.040748350322246524,6.510519027709961,7.178864410945347,29.599377314249676,32.45380619594029,1.2467529773712158,26.42037010192871
South Australia,-34.5,138.5,13.631156603495281,13.187255450657435,1.364456832408905,1.430233665875026,29.603950182596844,37.34566334315709,61.24512545267741,49.69518225533621,7.382582028706868,7.334365095411028,0.9035380880037943,0.30327162572315763,0.07720030720035233,0.03747282496520446,0.03165524359792465,0.025295046291180942,7.630554993947347,8.265178271702357,15.811736106872559,17.240935734340123,0.8727959394454956,81.20674896240234
Tasmania,-42.0,147.0,15.319892088572184,14.437341281345912,1.1575612624486287,1.272754192352295,17.5242600440979,27.409489495413645,48.72461764017741,44.0735958644322,18.881741523742676,17.479223796299525,4.0558447043101,0.9136606965746198,0.18007025619347886,0.06028123732124049,0.03430159017443649,0.0307970823986189,4.779020468393962,4.934431825365339,17.17782195409139,16.100309099469865,0.8448833227157593,0.0
Victoria,-36.5,143.5,11.032950719197592,11.504679679870605,1.4546482761700947,1.4683315583637782,27.609329223632812,43.37427030290876,62.088827768961586,44.96145520891462,11.640791575113932,10.551659856523786,1.0873402158419292,0.263305800301688,0.08876839218040304,0.03258011490106581,0.015785287600010585,0.013165324527238056,5.109765609105428,6.033798149653843,7.478203455607097,7.902701786586216,0.8673100471496582,15.195839881896973
Western Australia,-31.5,118.0,10.48733917872111,10.35553891318185,1.4961302479108174,1.591230801173619,21.02745469411214,33.36887223379953,68.59774716695149,56.78821400233677,6.2581156094868975,8.289218493870326,0.657364676396052,0.28043184110096525,0.04958748010297613,0.02444587435041151,0.010964772508790051,0.009406299463340142,6.190847476323445,6.628934587751116,8.184526920318604,8.780943734305245,0.7223313450813293,11.921277046203612
