forecast_window,model,strategy,threshold,validation_precision,validation_recall,validation_f1,test_precision,test_recall,test_f1,test_accuracy,test_brier,test_roc_auc,test_pr_auc,test_positive_rate,n_test
May-Jun,LogisticRegression,best_f1,0.2,0.25,0.8461538461538461,0.38596491228070173,0.1875,0.5555555555555556,0.2803738317757009,0.48322147651006714,0.16484553709629954,0.47571341833636915,0.17331540305520607,0.5369127516778524,149
May-Jun,LogisticRegression,recall_ge_0_5,0.2,0.25,0.8461538461538461,0.38596491228070173,0.1875,0.5555555555555556,0.2803738317757009,0.48322147651006714,0.16484553709629954,0.47571341833636915,0.17331540305520607,0.5369127516778524,149
May-Jun,LogisticRegression,precision_ge_0_3,0.33,0.3333333333333333,0.07692307692307693,0.125,0.09090909090909091,0.07407407407407407,0.08163265306122448,0.697986577181208,0.16484553709629954,0.47571341833636915,0.17331540305520607,0.1476510067114094,149
May-Jun,HistGradientBoostingClassifier,best_f1,0.13,0.13541666666666666,1.0,0.23853211009174313,0.19696969696969696,0.9629629629629629,0.3270440251572327,0.28187919463087246,0.15118105606464358,0.5425015179113539,0.1952635979481617,0.8859060402684564,149
May-Jun,HistGradientBoostingClassifier,recall_ge_0_5,0.13,0.13541666666666666,1.0,0.23853211009174313,0.19696969696969696,0.9629629629629629,0.3270440251572327,0.28187919463087246,0.15118105606464358,0.5425015179113539,0.1952635979481617,0.8859060402684564,149
May-Jun,HistGradientBoostingClassifier,precision_ge_0_3,0.14,0.2,0.07692307692307693,0.1111111111111111,0.0,0.0,0.0,0.785234899328859,0.15118105606464358,0.5425015179113539,0.1952635979481617,0.03355704697986577,149
May-Jun,LightGBMClassifier,best_f1,0.14,0.14666666666666667,0.8461538461538461,0.25,0.18032786885245902,0.8148148148148148,0.2953020134228188,0.2953020134228188,0.15218293738627361,0.4996964177292047,0.18058831555192106,0.8187919463087249,149
May-Jun,LightGBMClassifier,recall_ge_0_5,0.14,0.14666666666666667,0.8461538461538461,0.25,0.18032786885245902,0.8148148148148148,0.2953020134228188,0.2953020134228188,0.15218293738627361,0.4996964177292047,0.18058831555192106,0.8187919463087249,149
May-Jun,LightGBMClassifier,precision_ge_0_3,0.15,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.0,0.0,0.0,0.8187919463087249,0.15218293738627361,0.4996964177292047,0.18058831555192106,0.0,149
May-Jun,CatBoostClassifier,best_f1,0.14,0.16666666666666666,0.9230769230769231,0.2823529411764706,0.20512820512820512,0.8888888888888888,0.3333333333333333,0.35570469798657717,0.14898484646241214,0.5069823922282939,0.19463806847933757,0.785234899328859,149
May-Jun,CatBoostClassifier,recall_ge_0_5,0.14,0.16666666666666666,0.9230769230769231,0.2823529411764706,0.20512820512820512,0.8888888888888888,0.3333333333333333,0.35570469798657717,0.14898484646241214,0.5069823922282939,0.19463806847933757,0.785234899328859,149
May-Jun,CatBoostClassifier,precision_ge_0_3,0.17,0.2,0.07692307692307693,0.1111111111111111,0.0,0.0,0.0,0.738255033557047,0.14898484646241214,0.5069823922282939,0.19463806847933757,0.08053691275167785,149
May-Jul,LogisticRegression,best_f1,0.26,0.26666666666666666,0.6153846153846154,0.37209302325581395,0.22857142857142856,0.5925925925925926,0.32989690721649484,0.5637583892617449,0.14993270164420858,0.5686095931997571,0.21045639044591874,0.4697986577181208,149
May-Jul,LogisticRegression,recall_ge_0_5,0.26,0.26666666666666666,0.6153846153846154,0.37209302325581395,0.22857142857142856,0.5925925925925926,0.32989690721649484,0.5637583892617449,0.14993270164420858,0.5686095931997571,0.21045639044591874,0.4697986577181208,149
May-Jul,LogisticRegression,precision_ge_0_3,0.09,0.26666666666666666,0.6153846153846154,0.37209302325581395,0.21333333333333335,0.5925925925925926,0.3137254901960784,0.5302013422818792,0.14993270164420858,0.5686095931997571,0.21045639044591874,0.5033557046979866,149
May-Jul,HistGradientBoostingClassifier,best_f1,0.17,0.20512820512820512,0.6153846153846154,0.3076923076923077,0.21649484536082475,0.7777777777777778,0.3387096774193548,0.44966442953020136,0.1486838629287766,0.5866727383120826,0.20518046949037305,0.6510067114093959,149
May-Jul,HistGradientBoostingClassifier,recall_ge_0_5,0.17,0.20512820512820512,0.6153846153846154,0.3076923076923077,0.21649484536082475,0.7777777777777778,0.3387096774193548,0.44966442953020136,0.1486838629287766,0.5866727383120826,0.20518046949037305,0.6510067114093959,149
May-Jul,HistGradientBoostingClassifier,precision_ge_0_3,0.18,0.2727272727272727,0.23076923076923078,0.25,0.23076923076923078,0.2222222222222222,0.22641509433962265,0.7248322147651006,0.1486838629287766,0.5866727383120826,0.20518046949037305,0.174496644295302,149
May-Jul,LightGBMClassifier,best_f1,0.3,0.3,0.6923076923076923,0.4186046511627907,0.2714285714285714,0.7037037037037037,0.3917525773195876,0.6040268456375839,0.14375095222969658,0.6303885853066181,0.2495824112206918,0.4697986577181208,149
May-Jul,LightGBMClassifier,recall_ge_0_5,0.3,0.3,0.6923076923076923,0.4186046511627907,0.2714285714285714,0.7037037037037037,0.3917525773195876,0.6040268456375839,0.14375095222969658,0.6303885853066181,0.2495824112206918,0.4697986577181208,149
May-Jul,LightGBMClassifier,precision_ge_0_3,0.3,0.3,0.6923076923076923,0.4186046511627907,0.2714285714285714,0.7037037037037037,0.3917525773195876,0.6040268456375839,0.14375095222969658,0.6303885853066181,0.2495824112206918,0.4697986577181208,149
May-Jul,CatBoostClassifier,best_f1,0.38,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.23076923076923078,0.5555555555555556,0.32608695652173914,0.5838926174496645,0.15451834387070695,0.6281117182756526,0.22954909253285077,0.436241610738255,149
May-Jul,CatBoostClassifier,recall_ge_0_5,0.38,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.23076923076923078,0.5555555555555556,0.32608695652173914,0.5838926174496645,0.15451834387070695,0.6281117182756526,0.22954909253285077,0.436241610738255,149
May-Jul,CatBoostClassifier,precision_ge_0_3,0.18,0.3103448275862069,0.6923076923076923,0.42857142857142855,0.25316455696202533,0.7407407407407407,0.37735849056603776,0.5570469798657718,0.15451834387070695,0.6281117182756526,0.22954909253285077,0.5302013422818792,149
May-Aug,LogisticRegression,best_f1,0.38,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.273972602739726,0.7407407407407407,0.4,0.5973154362416108,0.14691567956632828,0.6479963570127504,0.25319130218484615,0.4899328859060403,149
May-Aug,LogisticRegression,recall_ge_0_5,0.38,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.273972602739726,0.7407407407407407,0.4,0.5973154362416108,0.14691567956632828,0.6479963570127504,0.25319130218484615,0.4899328859060403,149
