percentile,train_rate,validation_rate,test_rate,n_train,n_validation,n_test
70,0.30099857346647646,0.13793103448275862,0.24161073825503357,701,116,149
80,0.20256776034236804,0.11206896551724138,0.18120805369127516,701,116,149
90,0.10413694721825963,0.02586206896551724,0.09395973154362416,701,116,149
