forecast_window,model,coverage,width,pinball_p10,pinball_p50,pinball_p90,n_test,qhat,validation_rmse_model,classification_model,strategy,threshold,test_brier,test_roc_auc,test_pr_auc,nominal_coverage
May-Jun,ConformalBestPoint_ElasticNet,0.7986577181208053,1.56468844398832,0.1066073589308719,0.2724454872549637,0.1417072903328345,149,0.7823442219941601,0.5799613265259175,CatBoostClassifier,best_f1,0.14,0.1489848464624121,0.5069823922282939,0.1946380684793375,0.8
May-Jul,ConformalBestPoint_ElasticNet,0.7919463087248322,1.422939978503379,0.1020367122508012,0.2573021310352364,0.1388421086116,149,0.7114699892516894,0.5522646125222433,LightGBMClassifier,best_f1,0.3,0.1437509522296965,0.6303885853066181,0.2495824112206918,0.8
May-Aug,ConformalBestPoint_ElasticNet,0.7114093959731543,1.25878874862055,0.0954811006544513,0.2617234388819227,0.1621522420986643,149,0.6293943743102752,0.4770253778562155,LogisticRegression,precision_ge_0_3,0.22,0.1469156795663282,0.6479963570127504,0.2531913021848461,0.8
May-Sep,ConformalBestPoint_ElasticNet,0.7583892617449665,1.251473912652093,0.0925930112953208,0.2390359066703773,0.1531915199368908,149,0.6257369563260464,0.4391702441940389,HistGradientBoostingClassifier,best_f1,0.63,0.1974021187439375,0.6938372799028536,0.2694019731348358,0.8
May-Oct,ConformalBestPoint_ElasticNet,0.7516778523489933,1.1253429913850337,0.0849900140315945,0.219389716737077,0.1490195452007513,149,0.5626714956925167,0.4282061871260255,LogisticRegression,precision_ge_0_3,0.27,0.1348246872102882,0.7970552519732848,0.3904661429803322,0.8
