forecast_window,experiment,model,metric,value,alpha,n_train,n_val,n_test
May-Aug,residual_paper_safe,LightGBM,RMSE,1.0452148421157992,1.0,701,116,149
May-Aug,residual_paper_safe,LightGBM,R2,0.31815373348377685,1.0,701,116,149
May-Sep,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Sep,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Sep,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Sep,direct_paper_safe,Ridge,MAE,0.6177581378419013,-1.0,701,116,149
May-Sep,direct_paper_safe,Ridge,RMSE,0.9628991209696421,-1.0,701,116,149
May-Sep,direct_paper_safe,Ridge,R2,0.4213220808823207,-1.0,701,116,149
May-Sep,residual_paper_safe,Ridge,MAE,0.6895155489214919,1.1,701,116,149
May-Sep,residual_paper_safe,Ridge,RMSE,1.0424137932912274,1.1,701,116,149
May-Sep,residual_paper_safe,Ridge,R2,0.32180336698881773,1.1,701,116,149
May-Sep,direct_paper_safe,ElasticNet,MAE,0.6203956247767289,-1.0,701,116,149
May-Sep,direct_paper_safe,ElasticNet,RMSE,0.9665400089559681,-1.0,701,116,149
May-Sep,direct_paper_safe,ElasticNet,R2,0.416937644928415,-1.0,701,116,149
May-Sep,residual_paper_safe,ElasticNet,MAE,0.7099305271675312,1.25,701,116,149
May-Sep,residual_paper_safe,ElasticNet,RMSE,1.0596034609221427,1.25,701,116,149
May-Sep,residual_paper_safe,ElasticNet,R2,0.2992516773157884,1.25,701,116,149
May-Sep,direct_paper_safe,LightGBM,MAE,0.6212249387185944,-1.0,701,116,149
May-Sep,direct_paper_safe,LightGBM,RMSE,0.960384483592066,-1.0,701,116,149
May-Sep,direct_paper_safe,LightGBM,R2,0.42434060066614954,-1.0,701,116,149
May-Sep,residual_paper_safe,LightGBM,MAE,0.6578918548211029,0.65,701,116,149
May-Sep,residual_paper_safe,LightGBM,RMSE,1.0118546459611846,0.65,701,116,149
May-Sep,residual_paper_safe,LightGBM,R2,0.3609842082691326,0.65,701,116,149
May-Oct,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Oct,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
